ay,ax,time,az,vz,vy,vx,comp
0.006,0.043,7.331578254699707,1.008,-0.276,0.847,0.707,-73.60475552848601
-0.032,0.027,7.9296159744262695,1.016,-0.521,2.282,-0.833,-73.60475552848601
-0.071,0.062,7.932096004486084,1.047,-0.381,2.562,-0.553,-74.47368209393656
0.009,0.073,7.932610034942627,0.991,-0.416,2.912,0.742,-74.47368209393656
-0.007,0.008,7.932969570159912,1.002,-0.556,0.847,-0.938,-74.47368209393656
-0.048,0.002,7.933304786682129,1.012,0.249,0.252,-0.273,-74.47368209393656
-0.014,0.022,7.933643817901611,1.015,0.144,0.987,-0.203,-74.47368209393656
0.01,0.039,7.933929443359375,0.994,-0.696,1.162,-0.588,-74.47368209393656
0.007,0.031,7.93420147895813,1.008,-1.081,1.652,-0.518,-74.47368209393656
-0.011,0.047,7.9344682693481445,1.027,-0.346,0.357,1.057,-74.47368209393656
-0.021,0.031,7.934732675552368,1.011,-0.871,0.112,-0.238,-74.47368209393656
-0.002,0.024,7.934993267059326,1.0,-1.291,1.302,-0.273,-74.47368209393656
-0.006,0.046,8.55482006072998,1.006,-0.136,1.617,0.147,-76.04776787877711
0.004,0.04,8.557100057601929,1.012,-0.416,1.512,-0.658,-73.36164601270619
-0.017,0.04,8.557519435882568,1.0,-0.591,0.882,0.497,-73.36164601270619
-0.027,0.054,8.557830095291138,1.015,-0.416,1.547,0.427,-73.36164601270619
-0.018,0.029,8.558106184005737,1.014,-0.556,0.672,-0.518,-73.36164601270619
-0.0,0.054,8.558364152908325,1.024,-0.521,0.357,-0.098,-73.36164601270619
-0.015,0.042,8.558619022369385,1.021,-0.661,1.197,0.567,-73.36164601270619
-0.018,0.042,8.558870315551758,1.001,-0.136,1.267,-0.623,-73.36164601270619
-0.001,0.042,8.559120893478394,1.01,-0.836,0.567,0.007,-73.99210686820959
-0.015,0.037,8.559377193450928,1.021,-0.696,1.407,1.092,-73.99210686820959
-0.032,0.04,8.5596284866333,1.017,-0.101,1.337,-0.063,-73.99210686820959
-0.013,0.053,9.11427116394043,1.006,-0.241,1.407,-0.658,-73.99210686820959
-0.015,0.028,9.11667275428772,1.028,-0.591,0.742,-0.133,-73.35917909592928
0.006,0.012,9.117117404937744,1.009,-0.696,-0.518,2.527,-73.35917909592928
-0.047,0.051,9.117403030395508,1.011,-0.311,3.087,0.602,-73.35917909592928
-0.001,0.037,9.117659091949463,1.005,-0.591,1.582,-0.238,-73.35917909592928
0.0,0.019,9.117907762527466,1.001,-0.066,0.917,0.007,-73.35917909592928
-0.024,0.04,9.118169784545898,1.012,-0.346,1.197,0.322,-73.35917909592928
-0.008,0.034,9.118422269821167,1.014,-1.151,1.722,0.602,-73.35917909592928
-0.008,0.041,9.118663549423218,1.01,-0.941,0.952,0.287,-73.35917909592928
-0.013,0.051,9.118901491165161,1.006,-0.101,1.197,0.532,-73.35917909592928
-0.019,0.028,9.119203329086304,1.018,-0.381,1.337,-0.728,-73.35917909592928
-0.008,0.041,9.1194589138031,1.021,-0.381,0.602,-0.658,-73.48853472020899
-0.009,0.038,9.691852807998657,1.006,-0.556,1.407,0.462,-73.48853472020899
-0.022,0.06,9.69407057762146,1.016,-0.521,1.862,-0.133,-72.96879572440247
