comp,ax,time,ay,vx,az,vy,vz
-80.3464568174757,-0.029,16.9081289768219,0.043,-0.328,1.016,0.753,0.053
-80.3464568174757,-0.026,16.908286094665527,0.057,-0.223,1.009,0.753,-0.017
-80.3464568174757,-0.034,16.908446311950684,0.045,0.022,1.005,0.858,-0.122
-80.3464568174757,-0.03,16.90865182876587,0.052,-0.188,1.018,0.998,-0.087
-80.3464568174757,-0.024,17.331464767456055,0.066,-0.188,1.014,1.033,-0.087
-80.27467399536218,-0.025,17.3320369720459,0.058,-0.083,1.006,1.243,0.053
-80.28504325279351,-0.028,17.33374810218811,0.054,-0.328,1.009,0.928,0.088
-80.28504325279351,-0.029,17.334054470062256,0.056,-0.223,1.003,1.103,-0.087
-80.28504325279351,-0.032,17.334378957748413,0.039,-0.153,1.027,0.893,-0.017
-80.28504325279351,-0.029,17.33465313911438,0.038,-0.328,1.016,0.998,-0.122
-80.28504325279351,-0.032,17.334902048110962,0.05,-0.363,1.0,1.138,-0.052
-80.28504325279351,-0.029,17.335163831710815,0.052,-0.293,1.002,0.998,-0.087
-80.28504325279351,-0.032,17.335416793823242,0.061,-0.293,1.014,1.208,-0.157
-80.28504325279351,-0.028,17.33567190170288,0.057,-0.013,1.018,0.753,-0.192
-80.28504325279351,-0.03,17.335930109024048,0.056,-0.048,1.014,0.928,-0.052
-80.28504325279351,-0.024,17.337058544158936,0.055,-0.013,1.013,0.928,-0.192
-80.31616787681726,-0.025,17.7582368850708,0.056,-0.188,1.003,0.928,-0.122
-80.44154402394244,-0.031,17.758808612823486,0.051,-0.188,1.008,1.138,-0.122
-80.44154402394244,-0.028,17.760657787322998,0.052,-0.188,1.022,0.788,-0.122
-80.44154402394244,-0.03,17.76095175743103,0.06,-0.258,1.005,0.998,-0.052
-80.44154402394244,-0.022,17.761231899261475,0.066,-0.328,1.022,0.963,-0.087
-80.44154402394244,-0.03,17.761497974395752,0.062,-0.293,1.02,0.753,-0.052
-80.44154402394244,-0.026,17.761764764785767,0.052,-0.293,1.002,0.823,-0.157
-80.44154402394244,-0.023,17.762049198150635,0.054,-0.048,1.03,0.858,-0.122
-79.58397169242929,-0.031,17.762303590774536,0.043,-0.398,1.003,1.033,0.018
-79.58397169242929,-0.024,17.762571573257446,0.053,-0.258,1.007,0.998,-0.052
-79.58397169242929,-0.022,17.76283359527588,0.057,-0.223,1.004,0.718,-0.017
-79.58397169242929,-0.026,18.192999362945557,0.066,-0.258,1.003,0.998,-0.087
-80.33472643623645,-0.032,18.193583965301514,0.058,-0.328,1.0,1.033,-0.017
-80.33472643623645,-0.034,18.195345878601074,0.06,-0.293,1.016,0.893,0.018
-80.33472643623645,-0.022,18.195595026016235,0.055,-0.433,1.017,0.858,-0.087
-80.33472643623645,-0.031,18.19582509994507,0.063,-0.153,1.011,0.823,-0.332
-80.34010692155766,-0.033,18.196031093597412,0.058,-0.188,1.009,0.963,-0.227
-80.22956814519189,-0.026,18.196225881576538,0.048,-0.293,1.019,1.278,-0.262
-80.22956814519189,-0.027,18.196412801742554,0.054,-0.153,1.01,0.963,-0.192
-80.22956814519189,-0.035,18.1965970993042,0.06,-0.083,1.016,0.998,-0.122
-80.22956814519189,-0.026,18.196778535842896,0.06,-0.258,0.995,1.173,-0.192
-80.22956814519189,-0.023,18.19696044921875,0.057,-0.433,1.018,0.893,-0.087
-80.22956814519189,-0.029,18.62615418434143,0.049,-0.048,1.012,0.823,-0.017
-80.29501228248793,-0.029,18.628044605255127,0.065,-0.118,1.026,1.068,-0.227
-80.29501228248793,-0.024,18.628395557403564,0.056,-0.083,1.008,1.103,-0.367
-80.29501228248793,-0.027,18.628624439239502,0.043,-0.083,1.018,1.068,-0.262
-80.29501228248793,-0.027,18.62885546684265,0.052,-0.013,1.005,1.103,-0.157
-80.29501228248793,-0.03,18.629103899002075,0.054,-0.083,1.007,0.823,-0.262
-80.29501228248793,-0.029,18.629369974136353,0.046,-0.118,1.017,0.893,-0.122
-80.29501228248793,-0.034,18.629613161087036,0.042,-0.223,1.015,1.103,-0.157
-80.29501228248793,-0.03,18.62985348701477,0.052,-0.223,0.987,1.068,0.053
-80.05764472172484,-0.029,18.63009738922119,0.04,-0.433,1.013,1.103,0.088
-80.05764472172484,-0.034,18.630363702774048,0.049,-0.363,1.021,0.928,-0.017
-80.05764472172484,-0.03,19.060985326766968,0.047,-0.153,0.987,0.683,0.123
-80.205145011757,-0.031,19.061497688293457,0.05,-0.188,1.011,1.208,-0.052
-80.205145011757,-0.027,19.063325881958008,0.047,-0.048,1.022,1.033,-0.052
-80.205145011757,-0.032,19.063629627227783,0.041,-0.223,1.012,1.068,0.018
-80.205145011757,-0.026,19.06389880180359,0.046,-0.048,1.014,1.068,-0.017
-80.205145011757,-0.033,19.06415820121765,0.05,-0.153,1.006,0.963,-0.017
-80.05764472172484,-0.028,19.06441593170166,0.062,-0.223,1.007,0.998,0.053
-80.05764472172484,-0.029,19.064664602279663,0.05,-0.293,1.006,0.718,-0.122
-80.05764472172484,-0.028,19.064910650253296,0.051,-0.258,1.021,0.963,0.053
-80.05764472172484,-0.028,19.065165519714355,0.054,-0.293,1.004,0.823,-0.087
-80.05764472172484,-0.036,19.065413236618042,0.056,-0.083,1.022,0.718,-0.087
-80.05764472172484,-0.028,19.066545486450195,0.052,-0.223,1.003,0.963,-0.122
-80.05764472172484,-0.029,19.518880128860474,0.042,-0.223,1.014,1.068,-0.192
-80.23280404443078,-0.031,19.520929098129272,0.045,-0.188,1.009,1.208,-0.052
-80.23280404443078,-0.024,19.521331071853638,0.046,-0.188,1.012,0.963,-0.087
-80.23280404443078,-0.029,19.52160668373108,0.057,-0.188,1.002,0.858,0.018
-80.23280404443078,-0.028,19.521894454956055,0.057,-0.223,1.005,0.788,-0.122
-80.23280404443078,-0.029,19.522198915481567,0.049,-0.293,1.002,0.718,0.158
-80.23280404443078,-0.028,19.522472143173218,0.058,-0.188,1.016,0.858,-0.227
-80.23280404443078,-0.025,19.522751331329346,0.06,-0.223,1.002,0.928,0.053
-80.23280404443078,-0.024,19.523025035858154,0.051,-0.258,1.023,0.998,-0.122
-80.23280404443078,-0.029,19.523292303085327,0.052,-0.223,1.014,0.928,-0.122
-79.83366152241359,-0.028,19.523561239242554,0.047,-0.083,1.005,1.068,-0.052
-79.83366152241359,-0.028,20.008629322052002,0.049,-0.223,1.016,1.208,-0.227
-80.0666191792724,-0.032,20.009321212768555,0.041,-0.223,1.043,1.208,0.123
-80.0666191792724,-0.043,20.011277437210083,0.017,0.302,1.044,0.683,-0.017
-80.0666191792724,-0.072,20.01154398918152,-0.101,2.612,1.005,0.683,0.403
-80.0666191792724,-0.06,20.011757612228394,0.088,6.602,0.916,-1.242,1.698
-80.0666191792724,0.006,20.01196050643921,0.08,7.792,1.085,1.908,6.913
-80.0666191792724,-0.146,20.012157678604126,0.019,10.277,1.053,3.273,12.618
