ay,vy,time,ax,vx,az,vz,comp
-0.011,1.337,51.60502004623413,0.033,-0.308,1.015,-0.521,-73.9307641239947
-0.013,1.407,51.605387449264526,0.041,-0.238,1.016,-0.346,-73.9307641239947
-0.008,1.372,51.60568284988403,0.036,0.217,1.02,-0.381,-73.9307641239947
-0.025,1.127,51.60595726966858,0.033,-0.308,1.011,-0.276,-73.9307641239947
-0.008,1.372,51.60624623298645,0.033,-0.623,0.999,-0.521,-73.9307641239947
-0.015,0.812,51.606525182724,0.036,-0.168,1.016,-0.556,-74.05178470239046
-0.013,1.127,51.60679221153259,0.035,0.112,1.016,-0.451,-74.05178470239046
-0.015,0.952,51.607057332992554,0.034,-0.063,1.009,-0.276,-74.05178470239046
-0.017,0.497,51.6073272228241,0.042,0.427,1.006,-0.521,-74.05178470239046
-0.024,1.372,51.60759234428406,0.029,-0.623,1.016,-0.346,-74.05178470239046
-0.007,1.302,51.60901498794556,0.049,0.112,1.021,-0.276,-74.05178470239046
-0.016,1.302,52.35766792297363,0.042,0.112,1.021,-0.276,-74.05178470239046
-0.008,2.352,52.3583619594574,0.023,-0.413,0.992,-0.486,-74.06857731592848
-0.004,1.512,52.36050271987915,0.048,-0.168,1.016,-0.906,-74.06857731592848
-0.013,1.617,52.36088967323303,0.048,0.042,1.034,-0.696,-74.06857731592848
-0.013,0.812,52.361247539520264,0.027,0.462,1.007,-0.171,-74.06857731592848
-0.016,2.457,52.36160063743591,0.061,0.532,1.004,-0.381,-74.06857731592848
-0.016,2.457,52.361926555633545,0.044,0.532,1.004,-0.381,-74.06857731592848
-0.023,0.637,52.36229205131531,0.043,-0.623,1.005,-0.591,-74.06857731592848
0.003,0.742,52.36265182495117,0.034,-0.588,1.028,-0.171,-74.06857731592848
0.001,0.777,52.36300015449524,0.031,0.112,1.025,-0.066,-74.06857731592848
-0.022,1.442,52.36334729194641,0.041,0.952,1.007,-0.731,-73.87123566218521
-0.02,0.812,52.363693714141846,0.056,-0.518,1.009,-0.626,-73.87123566218521
-0.012,0.812,52.36403799057007,0.028,-0.518,1.009,-0.626,-73.87123566218521
-0.006,0.987,53.08943319320679,0.036,-0.133,1.028,-0.031,-73.87123566218521
-0.015,1.967,53.091864585876465,0.038,-0.168,1.011,-0.486,-73.5390960817946
-0.022,0.707,53.09242272377014,0.033,-0.168,1.015,-0.381,-73.5390960817946
-0.009,1.302,53.09280753135681,0.031,-0.448,1.021,-0.276,-73.5390960817946
0.003,0.917,53.09316921234131,0.03,0.392,1.006,-0.941,-74.38756893807188
-0.029,1.162,53.09353518486023,0.051,0.637,1.003,-0.381,-74.38756893807188
-0.013,0.952,53.09394073486328,0.025,-0.763,1.016,-0.381,-74.38756893807188
0.001,0.742,53.09429335594177,0.031,-1.183,1.019,-0.416,-74.38756893807188
0.002,0.812,53.09462380409241,0.044,0.322,1.004,-0.066,-74.38756893807188
-0.008,0.287,53.09494709968567,0.041,0.042,1.011,-0.591,-74.38756893807188
-0.008,0.287,53.09527063369751,0.041,0.042,1.011,-0.591,-74.38756893807188
-0.007,1.197,53.09558415412903,0.028,0.042,1.008,-0.451,-74.38756893807188
-0.0,1.162,53.86000609397888,0.036,0.147,1.015,-0.766,-74.38756893807188
-0.016,0.952,53.86239409446716,0.03,-0.168,1.016,-0.521,-73.90195893781508
-0.012,0.217,53.86284065246582,0.025,-0.378,1.001,-0.311,-73.90195893781508
-0.01,1.057,53.86316800117493,0.032,0.392,1.01,-0.486,-73.90195893781508
-0.021,-0.378,53.86347270011902,0.036,0.707,1.012,-0.591,-73.90195893781508
-0.008,-0.833,53.86376690864563,0.048,-0.273,1.002,-0.731,-73.03517395938348
0.012,0.987,53.864062547683716,0.03,0.077,1.007,-0.241,-73.03517395938348
-0.02,0.707,53.864407539367676,0.053,1.162,1.027,-0.661,-73.03517395938348
-0.035,1.267,53.86478638648987,0.04,0.217,1.012,-0.661,-73.03517395938348
-0.004,-0.168,53.86520195007324,0.04,-1.183,1.003,0.039,-73.03517395938348
-0.0,0.602,53.86555051803589,0.031,-0.378,1.014,-0.206,-73.03517395938348
-0.007,2.037,53.865877628326416,0.019,0.287,1.013,-0.731,-73.03517395938348
-0.016,0.672,54.622092723846436,0.044,0.322,1.009,-0.381,-73.03517395938348
-0.021,1.197,54.62445068359375,0.014,-1.393,1.008,-0.836,-73.99259570390015
0.01,0.917,54.6249577999115,0.065,-0.203,1.019,-0.241,-73.99259570390015
-0.007,1.127,54.62533378601074,0.038,1.022,1.018,-0.136,-73.99259570390015
-0.034,-9.058,54.62568497657776,0.026,1.757,1.003,-0.416,-73.99259570390015
-0.02,0.007,54.62601637840271,0.069,-1.393,1.006,-0.766,-73.99259570390015
-0.003,0.007,54.62634205818176,0.055,-1.393,1.01,-0.766,-73.99259570390015
0.002,2.107,54.626664876937866,0.021,0.182,1.028,-0.031,-74.47158452908725
-0.024,1.372,54.62698745727539,0.035,0.777,1.008,-0.696,-74.47158452908725
-0.02,1.372,54.6273033618927,0.047,0.777,1.008,-0.696,-74.47158452908725
-0.01,1.582,54.62761831283569,0.032,-0.693,0.997,-0.766,-74.47158452908725
-0.017,1.337,55.375224351882935,0.048,-0.378,1.024,-0.241,-74.47158452908725
-0.014,1.792,55.37740874290466,0.034,-0.273,1.02,-0.241,-73.4366286926141
-0.024,0.812,55.377758741378784,0.041,0.077,0.999,-0.451,-73.4366286926141
-0.013,1.232,55.378016233444214,0.053,-0.413,1.014,-0.486,-73.4366286926141
-0.001,1.057,55.37828302383423,0.029,-0.168,1.008,-0.416,-73.4366286926141
-0.012,1.267,55.37853384017944,0.031,-0.203,1.008,-0.241,-73.4366286926141
-0.017,1.267,55.37877154350281,0.036,-0.203,1.016,-0.241,-73.4366286926141
-0.001,-0.028,55.379000186920166,0.035,0.112,1.001,-0.381,-73.4366286926141
-0.028,1.512,55.37922644615173,0.044,0.147,1.018,-0.276,-73.4366286926141
-0.028,1.512,55.37945318222046,0.044,0.147,1.018,-0.276,-73.4366286926141
-0.024,2.807,55.379671812057495,0.038,-1.148,1.016,-0.416,-73.88701588833358
0.003,0.182,56.089906215667725,0.025,0.042,1.008,-0.451,-73.88701588833358
-0.02,2.317,56.09216642379761,0.022,-0.063,0.999,-0.661,-73.24613821449884
-0.015,0.287,56.09252667427063,0.047,-0.623,1.001,0.039,-73.24613821449884
-0.015,-0.308,56.09279251098633,0.047,-0.623,1.001,-0.381,-73.24613821449884
-0.009,3.017,56.09303569793701,0.007,-0.623,1.022,-0.241,-73.24613821449884
-0.013,0.357,56.093276500701904,0.031,0.532,1.007,-0.591,-73.24613821449884
-0.016,0.637,56.093547344207764,0.067,-0.168,1.018,-0.136,-73.24613821449884
