comp,az,vy,vx,ax,vz,time,ay
-88.82497244859698,1.005,2.118,-3.653,0.172,-2.782,6.838332891464233,0.173
-88.82497244859698,0.971,2.083,-3.653,0.153,-3.062,6.838526010513306,0.193
-88.82497244859698,0.98,2.258,-3.128,0.167,-3.307,6.838715076446533,0.192
-88.82497244859698,0.956,3.133,-2.253,0.154,-3.342,6.8389036655426025,0.202
-88.82497244859698,0.968,1.418,-3.093,0.168,-3.412,6.840149879455566,0.209
-89.67224795389731,0.969,0.333,-3.478,0.17,-3.062,7.269345045089722,0.213
-87.56113687571353,0.91,14.928,-38.303,0.188,2.503,7.271239519119263,0.128
-87.56113687571353,0.969,15.908,-38.513,0.179,3.203,7.271589040756226,0.137
-87.56113687571353,0.987,12.618,-38.863,0.235,3.868,7.271871328353882,0.2
-87.56113687571353,1.081,9.853,-46.493,0.224,4.008,7.272137641906738,0.14
-87.56113687571353,1.126,12.583,-41.138,0.181,2.923,7.2723939418792725,0.185
-87.56113687571353,0.957,12.338,-40.613,0.22,2.363,7.27264666557312,0.176
-87.56113687571353,1.02,15.943,-37.813,0.193,2.713,7.27290153503418,0.159
-88.13890805715286,1.241,13.808,-22.518,0.197,5.933,7.273153781890869,0.234
-88.13890805715286,1.228,6.668,-16.043,0.251,8.348,7.273407220840454,0.199
-88.13890805715286,1.224,2.328,-1.028,0.136,6.178,7.273650646209717,0.227
-88.13890805715286,1.083,-0.682,16.542,0.147,5.583,7.274847745895386,0.071
-88.13890805715286,1.083,1.523,17.347,0.059,6.563,7.7128517627716064,0.075
-87.33409727571144,1.015,5.478,-18.318,0.12,-39.637,7.715035915374756,0.017
-86.22484071833334,1.025,6.213,-17.478,0.075,-40.022,7.715404510498047,-0.005
-86.22484071833334,1.007,7.508,-13.523,0.101,-40.722,7.715660333633423,-0.006
-86.22484071833334,1.047,8.803,-13.978,0.108,-41.422,7.715900659561157,-0.003
-86.22484071833334,1.049,9.258,-15.168,0.131,-40.897,7.716135025024414,-0.018
-86.22484071833334,1.109,12.058,-26.788,0.009,-41.807,7.716366529464722,-0.004
-86.22484071833334,1.024,10.973,-24.653,0.067,-40.092,7.716602802276611,0.018
